Row_ID,Brand,Model,Battery,km_of_range,0-100,Top_Speed,Efficiency,Fastcharge,Germany_price_before_incentives,Netherlands_price_before_incentives,UK_price_after_incentives,Drive_Configuration,Tow_Hitch,Towing_capacity_in_kg,Number_of_seats,Estimated_US_Value,Range
1,TESLA,Model 3,57.5,104,6.1,201,139,690,41970,41990,39990,Rear Wheel Drive,Towbar possible,1000,5,49827,2
2,TESLA,Model Y,57.5,137,6.9,217,164,580,45970,45990,44990,Rear Wheel Drive,Towbar possible,1600,5,56057,1
3,TESLA,Model Y Long Range Dual Motor,75.0,130,5.0,217,172,670,55970,52990,52990,All Wheel Drive,Towbar possible,1600,5,66025,2
4,TESLA,Model 3 Long Range Dual Motor,75.0,106,4.4,201,150,770,50970,49990,49990,All Wheel Drive,Towbar possible,1000,5,62287,3
5,TESLA,Model Y Long Range RWD,75.0,109,5.9,217,163,710,49970,49990,0,Rear Wheel Drive,Towbar possible,1600,5,27927,3
6,BYD,ATTO 3,60.5,121,7.3,160,183,370,37990,38990,37195,Front Wheel Drive,Towbar not possible,0,5,46344,1
7,MG,MG4 Electric 64 kWh,61.7,102,7.9,160,171,630,39990,35785,29495,Rear Wheel Drive,Towbar possible,500,5,36750,2
8,BYD,SEAL 82.5 kWh AWD Excellence,82.5,107,3.8,180,168,540,50990,50990,48695,All Wheel Drive,Towbar not possible,0,5,60673,3
9,TESLA,Model Y Performance,75.0,152,3.8,250,181,640,60790,58990,59990,All Wheel Drive,Towbar possible,1600,5,74747,2
10,BMW,i4 eDrive40,80.7,122,5.7,190,157,800,59200,62992,57890,Rear Wheel Drive,Towbar possible,1600,5,72130,3
11,CITROEN,e-C3,44.0,90,11.0,135,166,340,23300,24290,21000,Front Wheel Drive,Towbar possible,550,5,26166,1
12,BMW,iX xDrive40,71.0,225,6.1,200,197,480,77300,84998,69905,All Wheel Drive,Towbar possible,2500,5,87101,2
13,VOLKSWAGEN,ID.4 Pro,77.0,114,6.7,180,177,650,46335,49990,46035,Rear Wheel Drive,Towbar possible,1000,5,57359,2
14,BYD,DOLPHIN 60.4 kWh,60.5,101,7.0,160,178,340,32990,35490,30195,Front Wheel Drive,Towbar possible,0,5,37622,1
15,VOLVO,EX30 Single Motor ER,64.0,118,5.3,180,178,600,41790,41495,38545,Rear Wheel Drive,Towbar possible,1400,5,48027,2
16,TESLA,Model S Plaid,95.0,199,2.3,282,170,780,110970,108990,100000,All Wheel Drive,Towbar possible,1600,5,124600,3
17,TESLA,Model S Dual Motor,95.0,167,3.2,250,165,800,95970,93990,85000,All Wheel Drive,Towbar possible,1600,5,105910,3
18,KIA,Niro EV,64.8,111,7.8,167,168,390,45690,39995,37295,Front Wheel Drive,Towbar possible,750,5,46469,2
19,HYUNDAI,Kona Electric 65 kWh,65.4,116,7.8,170,168,400,47190,43995,38595,Front Wheel Drive,Towbar possible,750,5,48089,2
20,TESLA,Model 3 Performance,75.0,135,3.2,262,165,700,57970,56990,59990,All Wheel Drive,Towbar not possible,0,5,74747,3
21,BYD,HAN,85.4,146,3.9,180,180,450,69020,69990,0,All Wheel Drive,Towbar not possible,0,5,39100,3
22,CUPRA,Born 150 kW - 58 kWh,58.0,113,7.3,160,166,470,39370,36939,36475,Rear Wheel Drive,Towbar not possible,0,5,45447,1
23,FIAT,500e Hatchback 42 kWh,37.3,149,9.0,150,159,390,34990,34490,31195,Front Wheel Drive,Towbar not possible,0,4,38868,1
24,BYD,SEAL 82.5 kWh RWD Design,82.5,96,5.9,180,165,550,44990,45990,45695,Rear Wheel Drive,Towbar not possible,0,5,56935,3
25,BYD,TANG,86.4,199,4.6,180,243,420,71400,69990,0,All Wheel Drive,Towbar possible,1500,7,39100,2
26,DACIA,Spring Electric 45,25.0,137,19.1,125,152,180,22550,0,0,Front Wheel Drive,Towbar not possible,0,4,23903,1
27,RENAULT,Scenic E-Tech EV87 220hp,87.0,98,7.9,170,178,510,48900,47970,40995,Front Wheel Drive,Towbar possible,1100,5,51079,3
28,BMW,iX3,74.0,184,6.8,180,192,520,67300,71462,64165,Rear Wheel Drive,Towbar possible,750,5,79949,2
29,BMW,iX1 xDrive30,64.7,147,5.6,180,170,510,55000,57850,47465,All Wheel Drive,Towbar possible,1200,5,59141,2
30,TESLA,Model Y,57.5,137,6.9,217,164,810,45970,45990,44990,Rear Wheel Drive,Towbar possible,1600,5,56057,1
31,SKODA,Enyaq 85,77.0,111,6.7,180,171,670,48900,49990,44540,Rear Wheel Drive,Towbar possible,1000,5,55496,2
32,NIO,ET7 75 kWh,70.5,208,3.8,200,176,600,81900,84900,0,All Wheel Drive,Towbar possible,2000,5,47430,2
